"rocksmith_id","rocksmith_name","vst","category","inspiration","source_type"
"Pedal_AcousticEmulator","Acoustic Emulator","AcousticSimulator","Modulation","Blue-button acoustic simulator schematic local","local schematic"
"Pedal_Chorus","Chorus","Chorus","Modulation","Boss CE-2","local schematic"
"Pedal_Chorus20","Chorus 2","Chorus20","Modulation","Chorus 2.0 BBD chorus/flanger schematic local","local schematic"
"Pedal_StereoChorus","Stereo Chorus","kHs Chorus","Modulation","Generic kHs Chorus fallback","fallback plugin"
"Pedal_DigitalChorus","Digital Chorus","DigitalChorus","Modulation","Digital chorus schematic local","local schematic"
"Pedal_VintageChorus","Vintage Stereo Chorus","AnalogChorus","Modulation","Analog stereo BBD chorus schematic local","local schematic"
"Bass_Pedal_BassChorus","Bass Chorus","BassChorus","Modulation","Boss CEB-3","modeled pedal"
"Pedal_Flanger","Flanger","MFlanger","Modulation","Generic Melda MFlanger fallback","fallback plugin"
"Pedal_80sFlanger","80'S Flanger","EightiesFlanger","Modulation","MXR Flanger Original / SAD1024","local schematic"
"Pedal_ClassicFlanger","Classic Flanger","ClassicFlanger","Modulation","Boss BF-2 / MN3207","local schematic"
"Pedal_ModernFlanger","Modern Flanger","ModernFlanger","Modulation","Moog MF-108M Cluster Flux","local schematic"
"Pedal_VintageFlanger","Vintage Flanger","VintageFlanger","Modulation","Deluxe Electric Mistress","local schematic"
"Bass_Pedal_BassFlanger","Bass Flanger","BassFlanger","Modulation","Boss BF-2 / BF-3 adapted for bass","modeled pedal"
"Pedal_Phaser","Phaser","Phaser363","Modulation","MXR Phase 90 / Phaser 363 schematic","local schematic"
"Pedal_ShaverPhaser","Shaver Phaser","ShaverPhaser","Modulation","ET-25B phaser","local schematic"
"Pedal_PlanePhase","Plane Phaser","PlanePhase","Modulation","AP-7 eight-stage phaser","local schematic"
"Bass_Pedal_BassPhase","Bass Phase","BassPhase","Modulation","Analog bass phaser with 4 swept all-pass stages","modeled pedal"
"Pedal_Tremolo","Tremolo","Tremolo","Modulation","Colorsound Tremolo / Tremola","local schematic"
"Pedal_AmpTrem","Amp Trem","AmpTrem","Modulation","Demeter Tremulator","local schematic"
"Pedal_MultiTrem","Multi Trem","MultiTrem","Modulation","Boss TR-2","local schematic"
"Pedal_TremOle","Trem Ole","TremOle","Modulation","Rocksmith envelope-aware tremolo behavior","rocksmith description"
"Pedal_AmpVibe","Amp Vibe","AmpVibe","Modulation","Uni-Vibe","local schematic"
"Pedal_MultiVibe","Multi Vib","MultiVibe","Modulation","Boss VB-2","local schematic"
"Pedal_AutoVibe","Auto Vibe","AutoVibe","Modulation","Rocksmith auto-vibrato/vibe behavior","rocksmith description"
"Pedal_BassEmulator","Guitar Bass Emulator","BassEmulator","Pitch","Rocksmith guitar-to-bass octave emulator behavior","rocksmith description"
"Pedal_MarshallSupervibe","Marshall Supervibe","MarshallSupervibe","Modulation","Marshall SV-1 Supervibe","local schematic"
"Pedal_BakedRotatoe","Baked Rotatoe","BakedRotatoe","Modulation","Leslie rotary / Boss RT-20 style rotary speaker","local reference"
"Pedal_OmniMod","Omni Mod","OmniMod","Modulation","Uni-Vibe / Shin-ei photocell vibe","local schematic"
"Pedal_AnalogueDelay","Analogue Delay","AnalogDelay","Delay","Moog MF-104","modeled pedal"
"Pedal_ValveEcho","Valve Echo","ValveEcho","Delay","Binson Echorec","local schematic"
"Pedal_NPNDelay","Classic Npn Delay","NpnDelay","Delay","Boss DM-2","local schematic"
"Pedal_NoFiEcho","Stereo Echo","NoFiEcho","Delay","Ibanez DE7-style no-fi echo","modeled pedal"
"Pedal_OilCanEcho","Oil Can Echo","OilCanEcho","Delay","Tel-Ray / OK Pacemaker oil-can echo","local schematic"
"Pedal_CosmicEcho","Cosmic Echo","CosmicEcho","Delay","Synthrotek ECHO / PT2399","local schematic"
"Pedal_ModDelay","Mod Delay","ModDelay","Delay","Ibanez DLL10 / DML10","local schematic"
"Bass_Pedal_BassFilterDelay","Bass Filter Delay","BassFilterDelay","Delay","Boss DM-2 adapted for bass","modeled pedal"
"Bass_Pedal_BassFilterEcho","Bass Filter Echo","BassFilterEcho","Delay","Vintage tape echo adapted for bass","modeled pedal"
"Pedal_SpringReverb","Spring Reverb","SpringReverb","Reverb","Holy Grail-style spring tank","local schematic"
"Pedal_DigitalVerb","Digital Verb","DigitalVerb","Reverb","Boss RV-2","local schematic"
"Pedal_PlateVerb","Plate Reverb","PlateVerb","Reverb","EMT 140 plate reverb","local schematic"
"Pedal_TubeSpring","Tube Spring","TubeSpring","Reverb","Tube/spring tank driver schematic","local schematic"
"Pedal_Compression","Compression","DynamicsCompression","Dynamics","MXR Dyna Comp","local schematic"
"Pedal_Compressor","Compressor","kHs Compressor","Dynamics","Generic kHs Compressor fallback","fallback plugin"
"Bass_Pedal_MBComp","Bass Multi Comp","BassMultiComp","Dynamics","EBS MultiComp","local schematic"
"Pedal_EQ5","EQ5","EQ5","EQ","Mesa Boogie 5-band EQ","modeled pedal"
"Pedal_EQ8","EQ8","EQ8","EQ","Rocksmith EQ8 clone","modeled pedal"
"Pedal_AmpEQ","Amp Eq","Amp EQ","EQ","Fender Bassman 5F6-A passive FMV tone stack","modeled circuit"
"Bass_Pedal_BassEQ8","Bass Eq","Bass EQ8","EQ","Boss GE-7B","modeled pedal"
"Pedal_NoiseGate","Default Gate","NoiseGate","Dynamics","ET-45C/default gate style","local schematic"
"Pedal_Limiter","Limiter","Limiter","Dynamics","Two-knob stereo peak limiter","modeled effect"
"Pedal_USWah","Us Wah","USWah","Wah","Dunlop Cry Baby GCB-95","local schematic"
"Pedal_UKWah","Uk Wah","UKWah","Wah","Vox V847 / Clyde McCoy","local schematic"
"Bass_Pedal_BassWah","Bass Wah","BassWah","Wah","Cry Baby Bass Wah 105Q","modeled pedal"
"Pedal_ModernWah","Modern Wah","ModernWah","Wah","Morley Bad Horsie / optical contour wah","local schematic"
"Pedal_LoFiFilter","Lo Fi Filter","LoFiFilter","Filter","Lofinator-style lo-fi filter","local schematic"
"Pedal_BobFilter","Bob Filter","BobFilter","Filter","Moog Moogerfooger MF-105 / MuRF","local schematic"
"Pedal_AutoFilter","Auto Tone","AutoFilter","Filter","Mu-Tron III","local schematic"
"Bass_Pedal_BassAutoFilter","Bass Auto Filter","AutoSweep","Filter","EHX Q-Tron style envelope filter","modeled pedal"
"Pedal_GermaniumDrive","Germanium Drive","GermaniumDrive","Drive","Smooth germanium overdrive schematic local","local schematic"
"Pedal_CustomDrive","Custom Drive","CustomDrive","Drive","MOSFET/diode custom drive schematic local","local schematic"
"Pedal_LineDrive","Line Drive","LineDrive","Drive","Boss OS-2","modeled pedal"
"Pedal_MarshallGuvnorPlus","Marshall Guvnor Plus","MarshallGuvnorPlus","Drive","Marshall GV-2 Guvnor Plus","local schematic"
"Pedal_SuperDrive","Super Drive","SuperDrive","Drive","Boss SD-1","modeled pedal"
"Pedal_RangeBooster","Range Booster","RangeBooster","Drive","Dallas Rangemaster / OC44 treble booster","local schematic"
"Pedal_Distortion","Distortion","StandardDistortion","Distortion","Boss DS-1","modeled pedal"
"Pedal_VintageDistortion","Vintage Distortion","VintageDistortion","Distortion","DOD 250","modeled pedal"
"Pedal_MetalDistortion","Metal Distortion","AlloyDistortion","Distortion","Boss HM-2","modeled pedal"
"Bass_Pedal_BassDistortion","Bass Distortion","BassDistortion","Distortion","Pro Co RAT","modeled pedal"
"Bass_Pedal_BassOverdrive","Bass Overdrive","BassOverdrive","Drive","Darkglass Microtubes B3K","modeled pedal"
"Pedal_FuzzWasHe","BZ-1","BZ-1","Fuzz","Chief-style silicon fuzz","local schematic"
"Pedal_CaptFuzzle","Buzz-Tone","Buzz-Tone","Fuzz","Gibson Maestro FZ-1 Fuzz-Tone","modeled pedal"
"Pedal_BuzzOne","Super-Buzz","Super-Buzz","Fuzz","Univox Super-Fuzz","local schematic"
"Pedal_BuzzToo","Big Buzz","Big Buzz","Fuzz","Big Muff V1","local schematic"
"Bass_Pedal_BassFuzz","Bass Fuzz","BassFuzz","Fuzz","EHX Bass Big Muff Pi","modeled pedal"
"Pedal_OctaveUp","Octave Up","OctaveUp","Pitch","Foxrox Octron + EQD Tentacle","local schematic"
"Pedal_Octavius","Octave","Octavius","Pitch","Boss OC-2","local schematic"
"Pedal_MultiPitch","Multi Pitch","MultiPitch","Pitch","Moog MF-102","local schematic"
"Bass_Pedal_BassSubOctave","Bass Sub Octave","BassSubOctave","Pitch","Boss OC-2","modeled pedal"
"Pedal_BitCruncher","Bit Cruncher","BitCruncher","LoFi","Beverly BitCrusher / ADC0804-style converter","modeled pedal"
"Pedal_RingMod","Ring Mod","RingMod","Pitch","Maestro/Oberheim RM-1A","modeled pedal"
"Pedal_Swole","Swole","Swole","Dynamics","Rocksmith heavy saturated compression plus SG-1/Lazy Sprocket envelope reference","rocksmith description"
"Pedal_ShredZone","Shred Zone","ShredZone","Distortion","Boss MT-2","modeled pedal"
"Pedal_Enbiggenator","Enbriggenator","Enbiggenator","Modulation","Rocksmith thickener/widener behavior","rocksmith description"
"Bass_Pedal_BassEnbig","Bass Enbriggenator","BassEnbig","Modulation","Rocksmith resonant wobble/enbiggenator behavior","rocksmith description"
"Pedal_SendInTheClones","Send In The Clones","SendInTheClones","Modulation","EHX Clone Theory","modeled pedal"
"Bass_Pedal_EdenWTDI","Eden WTDI","EdenWTDI","Drive","Eden WTDI preamp/DI","modeled pedal"
